,Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc
0,10.0,0.9058822504771772,0.22139534883720927,0.9064003411461327,0.13529411764705884
1,20.0,0.21942968485891354,0.8339534883720929,0.36590932046665864,0.623529411764706
2,30.0,0.012982539631599602,1.0,0.11934610651988609,0.8823529411764708
3,40.0,0.0052870111317597605,1.0,0.08804194740220614,0.911764705882353
4,50.0,0.0032322803763456115,1.0,0.0735339735068527,0.9411764705882353
5,60.0,0.0022829190335532483,1.0,0.06633608574960746,0.9411764705882353
6,70.0,0.0017638410523880363,1.0,0.06034765383776497,0.9411764705882353
7,80.0,0.0014388120636459468,1.0,0.055104712878956505,0.9411764705882353
8,90.0,0.0011909549180851426,1.0,0.0514813689624562,0.9411764705882353
9,100.0,0.0010197472387506058,1.0,0.04926582644967471,0.9411764705882353
10,110.0,0.0008827506664187409,1.0,0.04739242441513959,0.9411764705882353
11,120.0,0.0007937977665154505,1.0,0.04496261419034472,0.9411764705882353
12,130.0,0.0007092312509699385,1.0,0.04308969787522858,0.9411764705882353
13,140.0,0.0006318890401559283,1.0,0.041531609086429375,0.9411764705882353
14,150.0,0.0005822722486747328,1.0,0.03997558705946978,0.9411764705882353
15,160.0,0.0005244365218997927,1.0,0.03873995378905651,0.9882352941176471
16,170.0,0.0004976995601210483,1.0,0.03768416386024624,1.0
17,180.0,0.0004611747948698295,1.0,0.03651871634464639,1.0
18,190.0,0.0004249416765316513,1.0,0.03564905793059106,1.0
19,200.0,0.0003974846906440203,1.0,0.034804957520728014,1.0
20,210.0,0.00037980907647184616,1.0,0.034039449691772465,1.0
21,220.0,0.0003481952164524285,1.0,0.03319345549041151,1.0
22,230.0,0.0003333738977594893,1.0,0.03232556043886671,1.0
23,240.0,0.0003178133336148521,1.0,0.03158223956238989,1.0
24,250.0,0.0003097333834152814,1.0,0.03114700971865187,1.0
25,260.0,0.00028740923534068035,1.0,0.030801982973136154,1.0
26,270.0,0.00027904395909272427,1.0,0.030176601222917144,1.0
27,280.0,0.0002630967502446137,1.0,0.029740951107997522,1.0
28,290.0,0.0002540893332902775,1.0,0.029049899063858332,1.0
29,300.0,0.0002351294377053431,1.0,0.028546776023565555,1.0
30,310.0,0.00023303006046502162,1.0,0.02818878304724599,1.0
31,320.0,0.00022713945817577746,1.0,0.02769205476723465,1.0
32,330.0,0.00021942962971768649,1.0,0.027271801817650886,1.0
33,340.0,0.00020780829496161885,1.0,0.02702871023439893,1.0
34,350.0,0.0002012972868690195,1.0,0.02665003561506084,1.0
35,360.0,0.00019074854000594266,1.0,0.026192756260142606,1.0
36,370.0,0.0001888347596161125,1.0,0.025915298274919098,1.0
37,380.0,0.00018424448116805204,1.0,0.025625198962641694,1.0
38,390.0,0.00017933239308438558,1.0,0.025256446763580916,1.0
39,400.0,0.00016654606013335001,1.0,0.025005274660447063,1.0
40,410.0,0.00016481155572935593,1.0,0.024745549407659793,1.0
41,420.0,0.00015997228696364765,1.0,0.024492374588461485,1.0
42,430.0,0.000156921712003013,1.0,0.024263036017324408,1.0
43,440.0,0.00015046430188556052,1.0,0.024018053914986407,1.0
44,450.0,0.00014895017756972202,1.0,0.023749310362572766,1.0
45,460.0,0.00014439560646234558,1.0,0.02355743623247334,1.0
46,470.0,0.00014224022857902584,1.0,0.02334591641145594,1.0
47,480.0,0.0001373986680378286,1.0,0.023168619006287815,1.0
48,490.0,0.0001370937140413033,1.0,0.023001802201364555,1.0
49,500.0,0.00013225740240525828,1.0,0.022797854273926978,1.0
